France,France,Francia,Франция,法国,فرنسا,A,208 20,0000000000 - 0055499999,Bouygues Telecom
France,France,Francia,Франция,法国,فرنسا,A,208 20,0055600000 - 2007199999,Bouygues Telecom
France,France,Francia,Франция,法国,فرنسا,A,208 20,2007300000 - 9999999999,Bouygues Telecom
Monaco,Monaco,Mónaco,Монако,摩纳哥,موناكو,B,208 20,0055500000 - 0055599999,Bouygues Telecom
Monaco,Monaco,Mónaco,Монако,摩纳哥,موناكو,B,208 20,2007200000 - 2007299999,Bouygues Telecom
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,20-35,Swisscom Schweiz AG
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,38,Swisscom Schweiz AG
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,40-44,Swisscom Schweiz AG
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,47,Swisscom Schweiz AG
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,52,Swisscom Schweiz AG
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,59,Swisscom Schweiz AG
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,60-62,Swisscom Schweiz AG
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,72,Swisscom Schweiz AG
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,77,Swisscom Schweiz AG
Switzerland,Suisse,Suiza,Швейцария,瑞士,سويسرا,A,228 01,80,Swisscom Schweiz AG
Liechtenstein,Liechtenstein,Liechtenstein,Лихтенштейн,列支敦士登,ليختنشتاين,B,228 01,37XXXXXXXX,Swisscom Schweiz AG
Luxembourg,Luxembourg,Luxemburgo,Люксембург,卢森堡,أيسلندا,A,270 77,000 x xxx xxx,Tango S.A.
Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا,B,270 77,800 x xxx xxx,Tango S.A.
Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا,B,270 77,801 x xxx xxx,Tango S.A.
Iceland,Islande,Islandia,Исландия,冰岛,أيسلندا ,A,274 02,0-8,Og fjarskipti hf (Vodafone Iceland)
Faroe Islands,Féroé (Iles),Feroe (Islas),Фарерские Острова,法罗群岛,جزر فارويه,B,274 02,9,"P/F Kall, reg. No 2868 (Vodafone FO)"
Fiji,Fidji,Fiji,Фиджи,斐济,فيجي ,A,542 02,00xxxxxxxx,Digicel (Fiji) Ltd
Nauru,Nauru,Nauru,Науру,瑙鲁,ناورو ,B,542 02,0840xxxxxx,Digicel (Fiji) Ltd
